Campaign,Ad Group,Ad Type,Status,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Comment
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,Responsive search ad,Removed,https://freshlybaked.us/bronx/branding/herb/0,Shop got shut down?,Licensed & Open Today,Bronx Cannabis Now,Freshly Baked NYC,Lab Tested Flower,Open in 10458,NY-Licensed Retailer,"Safe, Legal Cannabis",Your Trusted Source,Walk-in & Browse,Quality Cannabis,"Flower, Vapes & More",,,,Don't risk it. Freshly Baked is fully licensed & open in the Bronx. Shop with confidence!,Find lab-tested cannabis products at our Fordham location. Open daily!,"We're a trusted, legal dispensary serving 10458. Quality & safety guaranteed.",Skip the uncertainty. Choose a licensed cannabis retailer. Visit Freshly Baked today.,"SCRUB: remove ""Approved limited"" ad with policy-triggering copy (THC%, $price, claim/raid/shutdown)."
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,Responsive search ad,Removed,https://freshlybaked.us/bronx/branding/herb/0,Licensed. Here to stay.,Legal Cannabis in 10458,Trusted Bronx Dispensary,Freshly Baked NYC,Lab Reports Available,Safe Access to Cannabis,Quality You Can Trust,Open Daily in Fordham,Skip the Raid Risk,Real Cannabis Store,Regulated & Tested,Shop with Assurance,,,,Choose peace of mind. Freshly Baked is a fully licensed cannabis retailer.,We prioritize your safety with lab-tested products. Open 7 days a week!,Don't settle for less. Experience the Freshly Baked difference.,Support a legal business and enjoy high-quality cannabis in the Bronx.,"SCRUB: remove ""Approved limited"" ad with policy-triggering copy (THC%, $price, claim/raid/shutdown)."
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,Responsive search ad,Removed,https://freshlybaked.us/bronx/branding/herb/0,Local Cannabis - 10458,Fordham's Best Dispensary,Near You in the Bronx,Freshly Baked NYC,Quick & Easy Access,Walk-In Welcome!,Your Neighborhood Store,Open Late - 10458,Minutes From Fordham Rd,Convenient Cannabis,Browse Our Selection,The Bronx's Choice,,,,Right around the corner! Freshly Baked is your local cannabis source.,Serving the Fordham community with quality cannabis products daily.,Stop by today and experience the convenience of a nearby dispensary.,We’re proudly part of the 10458 neighborhood. Visit us now!,"SCRUB: remove ""Approved limited"" ad with policy-triggering copy (THC%, $price, claim/raid/shutdown)."
BronxSmokShopCon-02,BronxSmokShopCon-02 - 10458 conquest,Responsive search ad,Removed,https://freshlybaked.us/bronx/branding/herb/0,3.5g from $25 claim,Quality Cannabis Deals,Great Value in 10458,Freshly Baked NYC,Daily Specials,Explore Our Menu,Cannabis for Every Budget,Premium Flower Deals,New Customer Offers,Weekly Cannabis Sales,Find Your Perfect Strain,Value & Quality,,,,Discover affordable cannabis options at Freshly Baked. Shop today!,We offer a wide range of products to fit your budget. Visit our store.,Check out our daily specials and find the best deals on cannabis.,Quality cannabis doesn't have to break the bank. Explore our menu!,"SCRUB: remove ""Approved limited"" ad with policy-triggering copy (THC%, $price, claim/raid/shutdown)."
BronxSmokShopCon-02,BronxSmokShopCon-02 - 10458 conquest,Responsive search ad,Removed,https://freshlybaked.us/bronx/branding/herb/0,Lab-tested 25%+ THC claim,High Potency Cannabis,Quality Lab Results,Freshly Baked NYC,Potent Flower Selection,Premium Cannabis Strains,Find Your Ideal High,Tested for Purity,Cannabis You Can Trust,Strong & Effective,Potency Guaranteed,Explore Our Strains,,,,We provide lab-tested cannabis with verified potency levels.,Choose from a wide selection of potent strains at Freshly Baked.,"Experience the difference of high-quality, lab-tested cannabis.",We prioritize your satisfaction with potent and reliable products.,"SCRUB: remove ""Approved limited"" ad with policy-triggering copy (THC%, $price, claim/raid/shutdown)."
BronxSmokShopCon-02,BronxSmokShopCon-02 - 10458 conquest,Responsive search ad,Removed,https://freshlybaked.us/bronx/branding/herb/0,"Flower, Vapes & More",Wide Selection of Cannabis,Something for Everyone,Freshly Baked NYC,"Edibles, Concentrates",Explore Our Menu Now,All Your Cannabis Needs,Find Your Perfect Product,Diverse Cannabis Options,The Bronx's Best Variety,Cannabis & Accessories,New Products Daily,,,,We offer a diverse selection of cannabis products to suit your needs.,"From flower to edibles, we have something for every cannabis enthusiast.",Discover new favorites and explore our ever-changing menu.,Shop the widest variety of cannabis in the Bronx at Freshly Baked.,"SCRUB: remove ""Approved limited"" ad with policy-triggering copy (THC%, $price, claim/raid/shutdown)."
BronxSmokShopCon-03,BronxSmokShopCon-03 - 10458 conquest,Responsive search ad,Removed,https://freshlybaked.us/bronx/branding/herb/0,Open Daily in 10458,Late Night Cannabis,Convenient Hours,Freshly Baked NYC,Walk-In Friendly,Easy Access to Cannabis,Open Late,Quick & Easy Shopping,Stop By Today!,Your Cannabis Destination,Shop Now,We're Open!,,,,We're open 7 days a week for your convenience. Visit us today!,Enjoy easy access to high-quality cannabis in the Bronx.,Skip the hassle and find what you need at Freshly Baked.,We’re here when you need us. Open late for your convenience.,"SCRUB: remove ""Approved limited"" ad with policy-triggering copy (THC%, $price, claim/raid/shutdown)."
BronxSmokShopCon-03,BronxSmokShopCon-03 - 10458 conquest,Responsive search ad,Removed,https://freshlybaked.us/bronx/branding/herb/0,Your Local Cannabis Shop,Join Our Cannabis Community,Loyalty Rewards Program,Freshly Baked NYC,Regular Customer Perks,Become a VIP,The Bronx's Favorite,Come Back & Save,Your Trusted Dispensary,Friendly Staff,Experience The Difference,Welcoming Atmosphere,,,,We value our customers and offer a rewarding loyalty program.,Join the Freshly Baked community and enjoy exclusive perks.,Our friendly staff is here to help you find the perfect product.,We're committed to providing a welcoming and enjoyable experience.,"SCRUB: remove ""Approved limited"" ad with policy-triggering copy (THC%, $price, claim/raid/shutdown)."
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,Responsive search ad,Enabled,https://freshlybaked.us/bronx/branding/herb/0,NY-Licensed in 10458,Fordham's Trusted Shop,Open Daily for You,Real Shop. Real Hours.,Visit Us Today!,Permanent Bronx Location,Licensed & Ready,Your Neighborhood Store,Friendly Staff Awaits,Shop with Confidence,Here to Stay,Local Cannabis Source,,,,Find quality cannabis in the Bronx. We're NY-licensed and committed to serving 10458.,"Freshly Baked NYC: Your reliable, permanent cannabis shop in Fordham. Open daily!",Experience the difference of a licensed dispensary. Walk-ins are welcome!,Serving the Bronx community with quality and care. Visit our location today.,REPLACE: policy-safe RSA generated by generate-bronx-conquest.mjs (POLICY_FORBIDDEN_PATTERNS filter active).
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,Responsive search ad,Enabled,https://freshlybaked.us/bronx/branding/herb/0,Open Daily in the Bronx,Walk-Ins Welcome!,Your Local Dispensary,10458's Cannabis Shop,Visit Us Now,Licensed & Convenient,Easy Access in Fordham,Daily Cannabis Access,Shop with Peace of Mind,Open Late Daily,Real Cannabis. Real Easy.,Bronx's Best Choice,,,,Freshly Baked NYC: Open 7 days a week in 10458. Your convenient cannabis destination.,Stop by our Fordham location for a friendly experience. No appointment needed!,"We're here when you need us. Licensed, regulated, and ready to serve.","Find what you're looking for, every day. Visit Freshly Baked in the Bronx.",REPLACE: policy-safe RSA generated by generate-bronx-conquest.mjs (POLICY_FORBIDDEN_PATTERNS filter active).
